Quarter of Month,Measure Names,Measure Values
2017 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",68
2017 Q3,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",60
2017 Q4,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",54
2018 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",54
2018 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",80
2018 Q3,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",104
2018 Q4,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",81
2019 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",67
2019 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",76
2019 Q3,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",121
2019 Q4,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",127
2020 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",195
2020 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",187
2020 Q3,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",153
2020 Q4,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",161
2021 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",151
2021 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",157
2021 Q3,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",168
2021 Q4,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",161
2022 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",223
2022 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",250
2022 Q3,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",202
2022 Q4,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",256
2023 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",504
2023 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",512
2023 Q3,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",476
2023 Q4,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",469
2024 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",586
2024 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",594
